disco_lambda,epoch,acc,loss,eff_at_1pct,jsd,jsd_argmax_legacy,jsd_argmax_recomputed,disco_loss,auc
0.0,30,0.980811276217011,0.05882280935131076,0.9495742203889634,0.03286649699877691,0.012759322755521812,0.010489484162021369,0.0044343538337835685,0.997494
1.0,25,0.9811256868663416,0.0629461836815111,0.9493319308115519,0.02688548650646226,0.011490778246060668,0.009266361959631757,0.0040294719782401536,0.997494
2.0,25,0.9811111756056032,0.06673372662198422,0.9495801298908515,0.026936077647659037,0.010547045923439755,0.008276791882636464,0.003815073954288449,0.997486
3.0,25,0.9810628047364756,0.07034779542251395,0.9498519669777035,0.02457393860533047,0.010134901868924127,0.007749249395673991,0.003675330353505946,0.997475
4.0,25,0.9809805742589582,0.073850516547877,0.9496628629172847,0.0227945693089502,0.009028853455202403,0.006745032053844407,0.0035757843743631757,0.997463
5.0,25,0.980922529216005,0.07726158471209338,0.9493910258304328,0.022555950526078044,0.008669607658521705,0.006338526536072658,0.00349811586356685,0.99745
6.0,22,0.9816335809921832,0.08052965257108954,0.9491132792416928,0.018217391502857956,0.006888065535908771,0.004952535292677377,0.003357201029467489,0.997418
7.0,22,0.9813627041250678,0.08370961840953928,0.9484750530377795,0.018467919864665915,0.006622643118849034,0.004765100258103483,0.0032992664830255054,0.997402
8.0,22,0.9811547093878182,0.08685077069487682,0.9479431978678518,0.018043524109081697,0.006638208079245687,0.004670501935665542,0.0032472179130944487,0.997384
9.0,22,0.9809031808683538,0.08997855363786336,0.9474940757243572,0.016341624360136045,0.006634096221631679,0.0044870912515232115,0.003203987204875901,0.997367
10.0,22,0.9807096973918428,0.09316266227936507,0.9469385825468771,0.0153831489136344,0.006075934774141645,0.0039661940586955,0.0031683735667153642,0.99735
12.0,22,0.9807774166086216,0.09945308042102144,0.9453430170370939,0.014464189037491072,0.005177787002999143,0.003312666995605491,0.0030906713068820854,
15.0,22,0.9807967649562728,0.10882174575345434,0.9438065465461917,0.013579027945805192,0.004858394805624071,0.003035147860288543,0.0030191000829207235,
20.0,21,0.980898343781441,0.12814310158002987,0.9446693338218521,0.018046039951703778,0.0051398533583207305,0.0033301389486915644,0.003215918106464246,
30.0,21,0.980419472177076,0.16122202355281717,0.9416554878589284,0.016055972956290687,0.004277692718994367,0.0026365176208884874,0.0031725109380253786,
50.0,6,0.9759790263911462,0.22654218957313635,0.9313611355698829,0.012312455175317956,0.003536918514901876,0.00148442907343456,0.0031040415826459234,
