working_point,method,bin_lo,bin_hi,bin_center,density,n_jets
1% QCD mis-id,s1_k2_alpha1_lambda0,75.0,85.0,80.0,0.06396588486140725,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,85.0,95.0,90.0,0.08155650319829424,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,95.0,105.0,100.0,0.1279317697228145,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,105.0,115.0,110.0,0.1535181236673774,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,115.0,125.0,120.0,0.1689765458422175,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,125.0,135.0,130.0,0.12153518123667377,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,135.0,145.0,140.0,0.07889125799573561,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,145.0,155.0,150.0,0.08102345415778252,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,155.0,165.0,160.0,0.06823027718550106,1876
1% QCD mis-id,s1_k2_alpha1_lambda0,165.0,175.0,170.0,0.054371002132196165,1876
