k,r2_test,eff_at_1pct,jsd
0,0.6765352328918273,0.9540087649628411,0.07787325313384305
1,0.03927224682368913,0.9243868308087971,0.042510667404593847
2,0.004200666617328985,0.9083496435392674,0.04524604975358464
3,0.0020759793980987817,0.9068935439950077,0.05229574796583425
4,-0.00015572275038833183,0.6794217204667082,0.023404111547175463
5,-0.00016642028271918186,0.6301518976570034,0.050635413307244595
