working_point,method,n_sel,jsd,jsd_boot_mean,jsd_boot_std,ks,ks_boot_mean,ks_boot_std,chi2_per_ndf,ndf
50% QCD mis-id,vanilla_part_lambda0,93793,0.014318314665881487,0.01432698990676164,0.0002676082627244388,0.13696479771316794,0.1369848418529225,0.0012468535092030413,1037.5703477433708,9
50% QCD mis-id,s1_k2_alpha1_lambda0,93793,0.0005374923806864243,0.000546483041246572,5.085831510121721e-05,0.01886679981566808,0.018983447739954664,0.0011952167341293153,46.304721644768925,9
10% QCD mis-id,vanilla_part_lambda0,18759,0.013000360217367744,0.013051782056138179,0.000592998418238785,0.11744743519661494,0.11751183095331837,0.0029830610234535837,199.9257197147926,9
10% QCD mis-id,s1_k2_alpha1_lambda0,18759,0.0011324288719252924,0.001193979257112555,0.00016928060052167317,0.03827027670856453,0.03822894734783255,0.0033341722388836714,18.632754629783488,9
1% QCD mis-id,vanilla_part_lambda0,1876,0.04905832382778269,0.0498194850497021,0.003373073697045543,0.19299135890356955,0.192962574255382,0.007948172035159844,77.04071670151957,9
1% QCD mis-id,s1_k2_alpha1_lambda0,1876,0.016923682664981628,0.017738030672133004,0.002064228838468401,0.1143996747698123,0.11502721545447406,0.007729190829829218,27.40577302563885,9
