method,k,alpha,eff_at_misid,jsd,misid_rate
RAV (unit OLS),2,0.6,0.954000491669976,0.039816584763539234,0.01
RAV (unit OLS),2,0.7,0.9539993097709952,0.039816584763539234,0.01
RAV (unit OLS),2,0.8,0.9539993097709952,0.039816584763539234,0.01
RAV (unit OLS),2,0.9,0.954000491669976,0.039816584763539234,0.01
RAV (unit OLS),2,1.0,0.9539969459730337,0.039816584763539234,0.01
RAV (unit OLS),3,0.0,0.9540087649628411,0.039816584763539234,0.01
RAV (unit OLS),3,0.1,0.9540075830638604,0.039816584763539234,0.01
RAV (unit OLS),3,0.2,0.9540028554679374,0.039816584763539234,0.01
RAV (unit OLS),3,0.3,0.954000491669976,0.039816584763539234,0.01
RAV (unit OLS),3,0.4,0.9539993097709952,0.039816584763539234,0.01
RAV (unit OLS),3,0.5,0.9539957640740531,0.039816584763539234,0.01
RAV (unit OLS),3,0.6,0.9539922183771109,0.039816584763539234,0.01
RAV (unit OLS),3,0.7,0.9539874907811879,0.039816584763539234,0.01
RAV (unit OLS),3,0.8,0.9539874907811879,0.039816584763539234,0.01
RAV (unit OLS),3,0.9,0.9539863088822073,0.039816584763539234,0.01
RAV (unit OLS),3,1.0,0.9539839450842458,0.039816584763539234,0.01
