disco_lambda,epoch,acc,loss,eff_at_1pct,jsd,jsd_argmax_legacy,jsd_argmax_recomputed,disco_loss,auc
0.0,31,0.9808402987384878,0.06064097875066516,0.9469090350374367,0.018779876066127403,0.006274866515996305,0.004563475747927259,0.003396183598886637,0.997373
1.0,31,0.9808838325207028,0.06403436238838048,0.9468026640034511,0.018486757497483478,0.006274977406874561,0.004389437121368611,0.0033462976041938207,0.997371
2.0,31,0.9807870907824472,0.06736860688317071,0.9473404286752669,0.01946110133008009,0.006165058045923805,0.004297396735239035,0.003314991092415887,0.997372
3.0,31,0.9808935066945282,0.07065365548316895,0.9474763472186929,0.01996284112546192,0.006395793449357726,0.004386396268485967,0.0032868462168334734,0.997371
4.0,31,0.9808935066945282,0.07391060185053246,0.9472636051507218,0.01898360970033043,0.006434033469017633,0.004335206847318897,0.0032630735648904513,0.997368
5.0,31,0.9809370404767432,0.07715665503774724,0.9472872431582742,0.01898360970033043,0.006393644294115202,0.004337225073452783,0.003245543496122904,0.997366
6.0,31,0.980941877563656,0.08038866820119316,0.9472872431582742,0.01944626037939645,0.006395151299519733,0.004342408234212005,0.0032304461187195868,0.997363
7.0,20,0.9813288445166782,0.08359633209514651,0.9470272250751984,0.018201273001454417,0.005613466300734946,0.003822346367836397,0.0031772778475729615,0.997346
8.0,22,0.9815271650801022,0.08671306400900701,0.9468085735053392,0.018123169107717874,0.005044596658004495,0.00344149493591872,0.003122769650145379,0.997333
9.0,22,0.9813723782988932,0.08980297179377011,0.9467081119732418,0.018123169107717874,0.005162740150967324,0.003468279221065511,0.0031118643227637404,0.997327
10.0,22,0.98122726569151,0.0929505408845831,0.9465367364184872,0.018123169107717874,0.005481828136417643,0.003626128221533847,0.00310588772119991,0.997325
12.0,16,0.9811547093878182,0.09922454121145853,0.9450889084559062,0.017680023995151395,0.00508562926114345,0.0032748826612495024,0.003085302617749743,0.997295
15.0,22,0.9813820524727188,0.10865516269477322,0.9453311980333178,0.01809735071072467,0.005015914043504131,0.003255824893398671,0.003046920533606905,0.997292
20.0,7,0.981619069731445,0.12788831942471343,0.940869524107813,0.016859593411508167,0.016859593411508167,0.002464035783794247,0.003134667400765734,
30.0,6,0.9795149369243866,0.16088090087734375,0.9373415514806257,0.015934523211870427,0.015934523211870427,0.002298114957292549,0.0031642955505153557,
50.0,6,0.976723937775714,0.22518329785599187,0.9346881851328751,0.015128356319392633,0.015128356319392633,0.0018588543069519552,0.003107420822422268,
75.0,4,0.97722215772773,0.29982763386743283,0.9205999326316785,0.014846310361730116,0.014846310361730116,0.0016713557643748148,0.0029249484258324827,
